# ET,Lab,Satellite,Customer ID,ET Date,ET Location (recipient farm),Recipient ID,Recipient ID.1,Cow/Heifer,Heat,CL Side,CL measure (mm),Protocol,Fresh or Frozen,# Cane if Frozen,Freezing date,ET Tech,ET assistant,BCScore,Embryo Stage 4-8,Embryo Grade,Heat.1,Heat day,1st PC date,1st PC Result,2nd PC date,2nd PC Result,Fetal Sexing,OPU Date,Donor,Donor Breed,Donor BW EPD,SIRE Name,SIRE BW EPD,Semen type,SIRE Breed,CLIENT ,DIP,DIP.1
167.97,DZF,DZF,DZF,2025-04-09,Model Cattle (Karachi),31799,Local crossbred,Cow,.,Left,10,Natural heat,Fresh,DZF-1040-1,2024-07-30,Ruben,Talal,3.45,7,1.0,Yes,6.37,2024-10-21,Pregnant,2025-01-30,32,43,2024-07-11,967,Red Brahman,-0.4,Modesto 209,-0.89,Sexed Female,Angus,Dawood,-153.86,125.3
175.44,DZF,DZF,DZF,2024-01-05,Model Cattle (Karachi),214,Local crossbred,Cow,Yes,left,14.5,CIDR+E2+ECG+PGF+GnRH,Fresh,DZF-1055-1,2025-03-19,Ruben,Javeria,3.24,"6,7",1.0,Yes,6.04,2024-06-04,Recheck,2024-02-16,20,30,2024-06-09,BrafordBBQ,Nukra,-2.6,Reconquista 413 Eterno GC Bartolome,2,Pre-Sorted for Female,Angus,Dawood,-194.44,174.9
192.12,DZF,DZF,DZF,2024-05-01,Maidan Cattle (Karachi),32083,Local crossbred,Cow,Yes,right,12.5,CIDR+GnRH+PGF+GnRH,Fresh,DZF-1016-6,2024-10-27,Fakhar,Umer,3.17,"6,7",1.0,Yes,6.29,2024-04-01,Open,2024-07-09,68,87,2024-02-25,825/4,Beef crossbred,2.8,Mr Karu Manso 800,1.4,Conventional,Holstein Friesian,Dawood,-244.11,127.79
313.62,DZF,DZF,Model Cattle (Karachi),2024-06-04,DZF,32038,Local crossbred,Cow,.,.,22,Natural heat,Fresh,DZF-1055-1,2024-01-06,Hamid,Masroor,2.75,5,1.0,Yes,6.86,2024-10-09,Pregnant,2025-04-23,55,37,2024-04-21,909,Braford,.,Mr Karu Manso 800,2.5,Conventional,Beef Crossbred,Dawood,-170.56,242.28
440.41,DZF,DZF,DZF,2024-12-20,Maidan Cattle (Karachi),280,Local crossbred,Cow,Yes,Left,14,CIDR+GnRH+PGF+GnRH,Fresh,DZF-1045-1,2024-04-08,Masroor,Masroor,3.5,"7,7",1.0,Yes,6.26,2024-08-08,Recheck,2024-09-16,73,24,2024-10-27,D1,Cross Breed,1.6,JDH Janos Manso 709,-0.89,Conventional,Red Brahman,Dawood,-127.83,117.14
464.95,DZF,DZF,Maidan Cattle (Karachi),2025-03-16,DZF,22,Local crossbred,Cow,Yes,.,21.5,CIDR+E2+ECG+PGF+GnRH,Frozen,DZF-1053-1,2025-05-03,Masroor,Umer,3.47,5,1.0,Yes,6.58,2024-03-23,Open,2024-08-08,9,86,2024-11-26,3/4,Fresian,1.6,NCC Jackpot,.,Conventional,Red Brahman,Dawood,-111.56,285.79
292.16,DZF,DZF,Maidan Cattle (Karachi),2024-11-28,Maidan Cattle (Karachi),31947,Local crossbred,Cow,Yes,right,13,CIDR+E2+ECG+PGF+GnRH,Frozen,DZF-1043-1,2024-01-04,Masroor,Javeria,2.99,6,1.0,Yes,6.17,2024-11-11,Open,2024-03-05,28,60,2024-12-30,BrafordBBQ,Nukra,1.4,JDH Janos Manso 709,2.7,Pre-Sorted for Female,Beef Crossbred,Dawood,-161.75,286.52
353.67,DZF,DZF,Maidan Cattle (Karachi),2024-02-28,DZF,31645,Local crossbred,Cow,Yes,left,11.6,CIDR+Estradiol+PGF+GnRH,Fresh,DZF-1045-1,2025-02-19,Yaseen,Masroor,3.06,"6,7",1.0,Yes,6.7,2024-07-28,Recheck,2025-01-24,89,14,2024-10-25,85M,Angus,2.3,MR H AUBURN ROJO 706,2,Sexed Female,Holstein Friesian,Dawood,-109.11,258.74
132.46,DZF,DZF,Model Cattle (Karachi),2024-04-20,Model Cattle (Karachi),354,Local crossbred,Cow,Yes,left,19,CIDR+E2+ECG+PGF+GnRH,Frozen,DZF-1018-2,2024-03-17,Masroor,Javeria,3.18,"6,7",1.0,Yes,6.58,2025-03-25,Recheck,2024-03-25,55,69,2024-06-27,612+2/4,Beef crossbred,-2.6,F1 Gulabi,6.2,Sexed Female,Beef Crossbred,Dawood,-129.72,66.22
136.36,DZF,DZF,Model Cattle (Karachi),2024-06-26,DZF,273,Local crossbred,Cow,.,left,15,CIDR+E2+ECG+PGF+GnRH,Frozen,DZF-1045-1,2025-04-25,Ruben,Hamid,3.36,8,1.0,Yes,6.74,2024-07-18,Recheck,2024-09-24,16,92,2024-04-30,246,Braford,2.9,VL Rojo Whiskey 1/48,2.1,Pre-Sorted for Female,Beef Crossbred,Dawood,-258.48,147.2
324.85,DZF,DZF,Model Cattle (Karachi),2024-04-13,Maidan Cattle (Karachi),92,Local crossbred,Cow,.,left,11.1,Natural heat,Frozen,DZF-1053-1,2024-08-14,Masroor,Talal,3.13,8,1.0,Yes,6.57,2024-07-02,Pregnant,2024-10-21,22,86,2024-06-21,608,Fresian,-2.6,VL Rojo Whiskey 1/48,3.7,Pre-Sorted for Female,Red Brahman,Dawood,-119.4,283.43
188.33,DZF,DZF,Model Cattle (Karachi),2025-04-02,Model Cattle (Karachi),216,Local crossbred,Cow,Yes,left,12.5,CIDR+GnRH+PGF+GnRH,Fresh,DZF-1018-1,2024-07-06,Yaseen,Umer,2.98,"6,7",1.0,Yes,6.74,2025-03-25,Open,2025-03-10,88,47,2024-07-15,04-08,Braford,.,Commando 888/47,3.7,Conventional,Angus,Dawood,-140.29,72.7
112.99,DZF,DZF,Maidan Cattle (Karachi),2025-05-10,DZF,53,Local crossbred,Cow,.,Left,8.15,CIDR+E2+PGF+ECG,Fresh,DZF-1055-1,2024-12-23,Yaseen,Talal,3.58,"7,7",1.0,Yes,6.41,2024-03-16,Recheck,2025-03-11,80,73,2024-11-20,248,Grey Brahman,1.4,NCC Jackpot,-0.89,Pre-Sorted for Female,Beef Crossbred,Dawood,-245.59,245.32
243.84,DZF,DZF,Maidan Cattle (Karachi),2024-03-31,Maidan Cattle (Karachi),57,Local crossbred,Cow,.,.,14.2,CIDR+E2+ECG+PGF+GnRH,Frozen,DZF-1040-1,2025-01-21,Ruben,Hamid,3.62,"6,6",1.0,Yes,6.7,2024-12-20,Recheck,2024-04-15,84,53,2024-05-01,649,Beef crossbred,2.9,JDH Janos Manso 709,2.1,Sexed Female,Angus,Dawood,-156.07,198.03
427.23,DZF,DZF,DZF,2025-04-26,Maidan Cattle (Karachi),64,Local crossbred,Cow,.,left,14,CIDR+E2+ECG+PGF+GnRH,Frozen,DZF-1018-3,2024-10-09,Yaseen,Javeria,2.86,7,1.0,Yes,6.25,2024-07-28,Open,2024-12-22,96,39,2024-12-28,820/4,Beef crossbred,3.1,BRC MR. JUMANJI 67,2,Sexed Female,Red Brahman,Dawood,-110.23,259.38
315.04,DZF,DZF,Model Cattle (Karachi),2025-04-25,DZF,51,Local crossbred,Cow,.,right,17.2,CIDR+E2+PGF+ECG,Fresh,DZF-1045-1,2024-05-28,Masroor,Hamid,3.64,8,1.0,Yes,6.08,2024-04-27,Open,2025-02-14,22,54,2024-02-11,N,Braford,1.5,6.966666667,2.5,Sexed Female,Angus,Dawood,-179.27,104.84
372.6,DZF,DZF,DZF,2024-05-06,DZF,70,Local crossbred,Cow,Yes,.,9.9,CIDR+GnRH+PGF+GnRH,Frozen,DZF-1056-1,2024-12-02,Fakhar,Masroor,2.76,"7,7",1.0,Yes,6.39,2024-02-24,Open,2025-05-04,64,35,2024-01-29,984,Fresian,-7.6,Mr H Pride of Maddox Manso 684/8,3.7,Sexed Female,Red Brahman,Dawood,-129.13,153.04
219.26,DZF,DZF,Model Cattle (Karachi),2024-03-14,Model Cattle (Karachi),334,Local crossbred,Cow,Yes,Left,19.4,CIDR+GnRH+PGF+GnRH,Frozen,DZF-1045-1,2025-01-13,Fakhar,Talal,3.05,"7,8",1.0,Yes,6.63,2024-01-28,Pregnant,2024-03-04,2,51,2024-09-08,825/4,Fresian,.,MR. CLAYTON SLUGGER,2.5,Conventional,Red Brahman,Dawood,-78.38,111.64
249.74,DZF,DZF,DZF,2024-10-17,Maidan Cattle (Karachi),291,Local crossbred,Cow,.,Left,14,Natural heat,Frozen,DZF-1060-1,2025-03-05,Ruben,Hamid,3.08,6,1.0,Yes,6.37,2024-12-27,Pregnant,2024-09-14,29,5,2025-04-21,SM006,Braford,2.8,NCC Jackpot,2.1,Pre-Sorted for Female,Holstein Friesian,Dawood,-261.84,100.48
315.28,DZF,DZF,Model Cattle (Karachi),2024-05-07,DZF,88,Local crossbred,Cow,Yes,.,14.45,CIDR+E2+ECG+PGF+GnRH,Frozen,DZF-1016-1,2024-01-10,Hamid,Umer,2.8,"6,6",1.0,Yes,6.62,2025-02-14,Pregnant,2024-06-04,59,22,2024-03-11,D2,Cross Breed,-0.4,BRC MR. JUMANJI 67,-0.89,Pre-Sorted for Female,Red Brahman,Dawood,-133.22,144.66
450.11,DZF,DZF,Model Cattle (Karachi),2024-03-23,Model Cattle (Karachi),85,Local crossbred,Cow,.,Left,15.8,CIDR+E2+PGF+ECG,Fresh,DZF-1000-1,2025-01-04,Yaseen,Umer,3.2,7,1.0,Yes,6.85,2024-02-14,Open,2024-03-08,54,68,2024-09-19,D2,Nukra,1.5,MR V8 160/8,2.5,Pre-Sorted for Female,Holstein Friesian,Dawood,-170.31,223.66
188.63,DZF,DZF,DZF,2024-11-28,Maidan Cattle (Karachi),17/1,Local crossbred,Cow,Yes,left,17.5,Natural heat,Fresh,DZF-1044-1,2024-09-22,Masroor,Talal,3.45,"6,8",1.0,Yes,6.43,2024-10-19,Recheck,2024-04-05,31,58,2024-05-03,909,Beef Master,1.6,JDH Janos Manso 709,3.7,Sexed Female,Cross Breed,Dawood,-227.46,279.57
376.09,DZF,DZF,Model Cattle (Karachi),2024-10-22,DZF,DZ 42,Local crossbred,Cow,Yes,Left,21,Natural heat,Frozen,DZF-1055-1,2024-01-02,Fakhar,Hamid,3.41,5,1.0,Yes,6.81,2024-12-13,Open,2024-08-30,27,59,2024-06-03,820/4,Nukra,.,Modesto 209,1.4,Conventional,Angus,Dawood,-226.72,208.93
177.93,DZF,DZF,Model Cattle (Karachi),2024-03-31,Model Cattle (Karachi),109,Local crossbred,Cow,Yes,left,16.2,CIDR+E2+ECG+PGF+GnRH,Frozen,DZF-1045-1,2024-05-07,Fakhar,Javeria,3.33,7,1.0,Yes,6.18,2025-04-19,Pregnant,2024-09-01,28,53,2024-12-09,18/2,Beef crossbred,2.1,MR V8 160/8,3.7,Sexed Female,Cross Breed,Dawood,-188.72,96.54
121.41,DZF,DZF,Model Cattle (Karachi),2024-05-29,Model Cattle (Karachi),46,Local crossbred,Cow,Yes,Right,16.2,CIDR+E2+ECG+PGF+GnRH,Fresh,DZF-1018-2,2024-10-30,Yaseen,Javeria,3.05,"6,7",1.0,Yes,6.18,2024-03-15,Recheck,2024-05-01,35,77,2025-04-04,909,Braford,3,MR. CLAYTON SLUGGER,1.7,Conventional,Red Brahman,Dawood,-129.75,286.01
481.77,DZF,DZF,Model Cattle (Karachi),2024-11-21,DZF,276,Local crossbred,Cow,.,Right,8,CIDR+Estradiol+PGF+GnRH,Fresh,DZF-1018-3,2024-08-19,Fakhar,Masroor,3.22,7,1.0,Yes,6.23,2024-04-13,Open,2024-04-10,3,66,2025-01-29,246,Braford,3.7,MR V8 160/8,2.1,Pre-Sorted for Female,Holstein Friesian,Dawood,-130.92,175.02
356.39,DZF,DZF,Model Cattle (Karachi),2024-01-07,DZF,177,Local crossbred,Cow,Yes,left,15.45,CIDR+E2+PGF+ECG,Fresh,DZF-1016-6,2025-04-11,Hamid,Umer,3.37,5,1.0,Yes,6.89,2024-07-27,Recheck,2024-01-28,71,70,2024-12-05,825/4,Nukra,1.6,NCC Jackpot,2.1,Conventional,Grey Brahman,Dawood,-135.6,82.24
172.16,DZF,DZF,Model Cattle (Karachi),2024-01-21,DZF,353,Local crossbred,Cow,Yes,Right,18.5,CIDR+GnRH+PGF+GnRH,Frozen,DZF-1040-1,2024-06-23,Yaseen,Hamid,3.11,7,1.0,Yes,6.0,2024-04-16,Recheck,2025-03-27,33,7,2024-04-04,04-04,Angus,-0.4,CAUCHITOS KARU SIMON 922/6,1.7,Pre-Sorted for Female,Cross Breed,Dawood,-211.38,274.23
271.39,DZF,DZF,DZF,2025-04-30,Model Cattle (Karachi),38,Local crossbred,Cow,.,right,15.2,CIDR+E2+ECG+PGF+GnRH,Frozen,.,2024-12-26,Ruben,Masroor,3.7,"7,7",1.0,Yes,6.47,2024-04-30,Recheck,2025-02-10,12,65,2025-04-07,765/4,Red Brahman,1.6,VL Rojo Whiskey 60/1,2.7,Pre-Sorted for Female,Red Brahman,Dawood,-160.88,239.89
360.78,DZF,DZF,Maidan Cattle (Karachi),2024-05-17,DZF,244,Local crossbred,Cow,Yes,Left,10,CIDR+E2+ECG+PGF+GnRH,Frozen,DZF-1016-1,2024-11-26,Hamid,Umer,3.31,7,1.0,Yes,6.47,2024-07-31,Pregnant,2025-01-21,29,66,2025-02-01,12691,Red Brahman,3.6,MR V8 160/8,.,Sexed Female,Beef Crossbred,Dawood,-262.98,169.88
201.26,DZF,DZF,DZF,2024-01-11,DZF,305,Local crossbred,Cow,.,.,10,CIDR+GnRH+PGF+GnRH,Fresh,DZF-1056-1,2025-03-26,Hamid,Hamid,3.27,6,1.0,Yes,6.63,2025-05-01,Recheck,2025-03-30,29,88,2024-02-01,04-08,Angus,1.4,Modesto 209,-0.89,Pre-Sorted for Female,Angus,Dawood,-208.07,225.17
354.86,DZF,DZF,DZF,2024-01-21,DZF,348,Local crossbred,Cow,Yes,Right,15.1,CIDR+E2+ECG+PGF+GnRH,Frozen,DZF-1014-1,2025-04-16,Hamid,Talal,3.4,"6,7",1.0,Yes,6.45,2024-01-24,Recheck,2025-05-06,65,35,2024-10-13,600,Cross Breed,-6.1,JDH Janos Manso 709,2.7,Sexed Female,Cross Breed,Dawood,-150.82,150.68
211.41,DZF,DZF,Maidan Cattle (Karachi),2024-07-04,DZF,46,Local crossbred,Cow,.,Right,16.7,CIDR+E2+ECG+PGF+GnRH,Fresh,DZF-1060-1,2024-12-11,Masroor,Umer,3.57,"7,8",1.0,Yes,6.42,2024-05-13,Pregnant,2024-02-27,98,69,2024-05-29,608,Cross Breed,1.5,VL Rojo Whiskey 1/48,1.4,Pre-Sorted for Female,Beef Crossbred,Dawood,-109.55,164.73
446.61,DZF,DZF,DZF,2024-02-26,DZF,7,Local crossbred,Cow,Yes,left,16.5,CIDR+E2+PGF+ECG,Frozen,DZF-1018-3,2024-02-04,Masroor,Hamid,2.98,4,1.0,Yes,6.32,2025-04-07,Recheck,2024-04-20,24,73,2024-02-15,04-04,Braford,2.5,BRC Dutton 376/8,2.7,Sexed Female,Angus,Dawood,-217.54,126.1
481.15,DZF,DZF,Model Cattle (Karachi),2024-02-04,DZF,198,Local crossbred,Cow,Yes,Right,13,CIDR+E2+PGF+ECG,Fresh,DZF-1010-1,2024-08-08,Hamid,Umer,2.83,7,1.0,Yes,6.63,2024-05-15,Open,2025-01-29,19,95,2024-07-25,233M,Grey Brahman,-7.6,NCC Jackpot,.,Conventional,Holstein Friesian,Dawood,-109.95,219.53
395.08,DZF,DZF,DZF,2024-09-17,DZF,314,Local crossbred,Cow,Yes,Right,22,CIDR+Estradiol+PGF+GnRH,Fresh,.,2025-03-18,Hamid,Umer,2.93,5,1.0,Yes,6.82,2024-03-03,Pregnant,2024-01-24,89,21,2025-02-02,765/4,Braford,-0.4,Reconquista 413 Eterno GC Bartolome,.,Sexed Female,Angus,Dawood,-90.11,179.62
471.31,DZF,DZF,Maidan Cattle (Karachi),2024-06-08,DZF,34,Local crossbred,Cow,Yes,.,16.7,CIDR+Estradiol+PGF+GnRH,Fresh,DZF-1056-1,2024-09-16,Ruben,Umer,3.25,"6,6",1.0,Yes,6.65,2024-08-26,Pregnant,2024-02-11,43,72,2025-03-19,NK1,Grey Brahman,2.2,VL Rojo Whiskey 1/48,1.4,Conventional,Holstein Friesian,Dawood,-203.1,227.5
50.51,DZF,DZF,DZF,2024-02-22,Model Cattle (Karachi),31799,Local crossbred,Cow,Yes,Left,12.1,CIDR+Estradiol+PGF+GnRH,Frozen,DZF-1056-1,2025-02-05,Fakhar,Umer,2.83,"6,8",1.0,Yes,6.47,2024-10-07,Pregnant,2025-05-09,49,36,2024-08-28,612,Beef crossbred,3.7,Mr H Pride of Maddox Manso 684/8,2.5,Pre-Sorted for Female,Beef Crossbred,Dawood,-171.55,158.86
90.19,DZF,DZF,Model Cattle (Karachi),2024-12-29,Model Cattle (Karachi),R6,Local crossbred,Cow,Yes,Left,17,CIDR+E2+ECG+PGF+GnRH,Fresh,DZF-1000-1,2024-01-03,Yaseen,Javeria,3.16,7,1.0,Yes,6.5,2025-03-04,Recheck,2024-12-19,100,13,2024-08-29,D1,Angus,1.4,Mr Karu Manso 800,-0.89,Sexed Female,Red Brahman,Dawood,-164.78,255.24
482.43,DZF,DZF,Model Cattle (Karachi),2024-12-31,Maidan Cattle (Karachi),85,Local crossbred,Cow,.,right,12.5,CIDR+Estradiol+PGF+GnRH,Fresh,DZF-1055-1,2025-01-28,Yaseen,Masroor,3.51,7,1.0,Yes,6.35,2024-04-04,Recheck,2024-04-11,63,52,2025-03-03,12691,Angus,2.1,JDH Janos Manso 709,2,Conventional,Red Brahman,Dawood,-167.06,207.41
356.87,DZF,DZF,Model Cattle (Karachi),2024-03-11,Maidan Cattle (Karachi),352,Local crossbred,Cow,.,Right,11,CIDR+GnRH+PGF+GnRH,Frozen,DZF-1045-1,2025-01-20,Masroor,Javeria,3.67,4,1.0,Yes,6.1,2025-03-14,Pregnant,2024-02-21,66,34,2024-10-06,04-04,Grey Brahman,3,NCC Jackpot,6.2,Conventional,Holstein Friesian,Dawood,-153.74,266.14
13.56,DZF,DZF,Model Cattle (Karachi),2025-04-18,DZF,298,Local crossbred,Cow,Yes,left,14.3,Natural heat,Fresh,DZF-1040-1,2024-06-25,Hamid,Masroor,3.6,7,1.0,Yes,6.86,2024-04-05,Open,2025-03-08,37,85,2024-07-29,246,Nukra,2.1,F1 Gulabi,.,Conventional,Red Brahman,Dawood,-146.74,73.56
432.07,DZF,DZF,Maidan Cattle (Karachi),2024-12-11,Model Cattle (Karachi),173,Local crossbred,Cow,.,Left,18,Natural heat,Frozen,DZF-1018-2,2024-07-11,Fakhar,Masroor,3.04,4,1.0,Yes,6.61,2024-08-02,Pregnant,2024-09-29,41,47,2024-08-01,612+2/4,Braford,1.9,Commando 888/47,1.4,Sexed Female,Cross Breed,Dawood,-90.23,242.79
259.87,DZF,DZF,Maidan Cattle (Karachi),2024-04-22,Maidan Cattle (Karachi),10,Local crossbred,Cow,.,Left,12,CIDR+E2+PGF+ECG,Fresh,DZF-1055-1,2024-09-21,Masroor,Umer,3.07,"6,8",1.0,Yes,6.44,2024-12-02,Open,2024-01-29,39,9,2025-04-12,609,Grey Brahman,.,Modesto 209,-0.89,Pre-Sorted for Female,Angus,Dawood,-200.46,110.39
442.62,DZF,DZF,Maidan Cattle (Karachi),2024-02-29,Maidan Cattle (Karachi),32240,Local crossbred,Cow,Yes,left,9.9,CIDR+GnRH+PGF+GnRH,Frozen,DZF-1016-1,2024-03-11,Masroor,Masroor,2.77,4,1.0,Yes,6.39,2024-05-09,Recheck,2024-12-29,10,59,2024-07-03,23035,Beef Master,.,Genosource Captain-ET,2,Pre-Sorted for Female,Cross Breed,Dawood,-259.22,199.98
477.58,DZF,DZF,Model Cattle (Karachi),2025-04-07,DZF,33,Local crossbred,Cow,.,right,12.4,CIDR+Estradiol+PGF+GnRH,Frozen,DZF-1040-1,2025-04-16,Ruben,Hamid,3.68,"6,6",1.0,Yes,6.26,2024-03-03,Pregnant,2024-01-13,82,3,2024-09-03,SM006 Nukra,Beef crossbred,3.6,Mr Karu Manso 800,1.4,Sexed Female,Cross Breed,Dawood,-270.43,179.55
19.51,DZF,DZF,DZF,2024-07-23,DZF,254,Local crossbred,Cow,Yes,.,14.45,CIDR+E2+ECG+PGF+GnRH,Frozen,DZF-1014-1,2024-08-03,Ruben,Talal,3.33,4,1.0,Yes,6.16,2025-03-05,Recheck,2024-08-12,78,67,2024-12-25,827,Fresian,-7.6,Mr Karu Manso 800,6.2,Pre-Sorted for Female,Red Brahman,Dawood,-211.16,225.38
150.29,DZF,DZF,DZF,2024-09-20,DZF,32143,Local crossbred,Cow,.,left,18.5,CIDR+Estradiol+PGF+GnRH,Fresh,DZF-1014-1,2024-10-13,Yaseen,Hamid,2.9,5,1.0,Yes,6.78,2024-01-01,Pregnant,2024-01-10,71,7,2024-09-26,N,Red Brahman,2.3,NCC Jackpot,1.7,Conventional,Angus,Dawood,-94.83,137.76
349.4,DZF,DZF,Model Cattle (Karachi),2024-06-24,Model Cattle (Karachi),310,Local crossbred,Cow,Yes,left,22,CIDR+E2+PGF+ECG,Fresh,DZF-1040-1,2024-07-17,Fakhar,Masroor,3.15,"7,7",1.0,Yes,6.89,2024-06-05,Recheck,2024-09-05,65,13,2024-07-12,612,Beef crossbred,3,Genosource Captain-ET,3.7,Pre-Sorted for Female,Angus,Dawood,-195.84,169.7
263.27,DZF,DZF,DZF,2024-09-08,Model Cattle (Karachi),244,Local crossbred,Cow,Yes,right,16.75,CIDR+GnRH+PGF+GnRH,Frozen,DZF-1016-1,2024-05-25,Masroor,Umer,3.65,5,1.0,Yes,6.76,2024-05-01,Open,2024-02-20,17,61,2025-01-22,825/4,Fresian,2.3,Commando 888/47,2.5,Conventional,Cross Breed,Dawood,-125.9,241.23
203.72,DZF,DZF,DZF,2024-06-27,DZF,31903,Local crossbred,Cow,Yes,Right,13.75,CIDR+Estradiol+PGF+GnRH,Fresh,DZF-1055-1,2024-01-09,Yaseen,Masroor,2.8,"7,7",1.0,Yes,6.82,2024-08-03,Open,2024-10-20,95,12,2024-12-01,402,Braford,3.7,VL Rojo Whiskey 1/48,1.4,Conventional,Holstein Friesian,Dawood,-146.59,282.12
198.66,DZF,DZF,DZF,2024-06-23,Model Cattle (Karachi),32145,Local crossbred,Cow,.,left,13.1,Natural heat,Fresh,DZF-1016-1,2024-03-24,Masroor,Umer,3.19,"6,7",1.0,Yes,6.06,2025-01-28,Recheck,2025-01-14,17,1,2024-02-23,609,Angus,3.7,BRC Dutton 376/8,.,Sexed Female,Grey Brahman,Dawood,-80.6,99.66
100.77,DZF,DZF,Maidan Cattle (Karachi),2024-06-12,Model Cattle (Karachi),67,Local crossbred,Cow,Yes,Left,15.75,CIDR+E2+ECG+PGF+GnRH,Fresh,DZF-1056-1,2024-04-30,Ruben,Umer,2.81,5,1.0,Yes,6.02,2024-02-14,Pregnant,2025-03-15,85,84,2024-08-02,D1,Grey Brahman,2.1,Modesto 209,1.7,Pre-Sorted for Female,Grey Brahman,Dawood,-200.66,213.85
62.15,DZF,DZF,Maidan Cattle (Karachi),2024-02-22,Model Cattle (Karachi),279,Local crossbred,Cow,Yes,left,17.2,CIDR+E2+ECG+PGF+GnRH,Fresh,.,2024-07-14,Ruben,Javeria,3.64,"7,8",1.0,Yes,6.63,2024-05-13,Recheck,2025-01-30,35,19,2024-10-05,257,Nukra,1.4,Commando 888/47,1.7,Pre-Sorted for Female,Beef Crossbred,Dawood,-84.8,167.82
278.84,DZF,DZF,DZF,2024-09-17,Model Cattle (Karachi),358,Local crossbred,Cow,Yes,left,12.35,Natural heat,Frozen,DZF-1014-1,2024-07-14,Fakhar,Javeria,3.6,4,1.0,Yes,6.42,2024-07-04,Open,2024-02-28,11,17,2024-01-16,825/4,Red Brahman,2.8,Mr H Pride of Maddox Manso 684/8,6.2,Conventional,Angus,Dawood,-246.46,229.03
404.0,DZF,DZF,Model Cattle (Karachi),2025-04-07,Model Cattle (Karachi),158,Local crossbred,Cow,.,.,20,CIDR+Estradiol+PGF+GnRH,Frozen,DZF-1018-2,2025-04-17,Hamid,Umer,3.55,"6,7",1.0,Yes,6.91,2024-01-24,Recheck,2024-09-25,95,97,2024-01-05,909/9,Angus,2.1,MR H AUBURN ROJO 706,2.1,Pre-Sorted for Female,Holstein Friesian,Dawood,-257.82,91.44
191.2,DZF,DZF,Model Cattle (Karachi),2025-04-16,DZF,94,Local crossbred,Cow,.,.,15.5,CIDR+E2+ECG+PGF+GnRH,Fresh,DZF-1000-1,2025-03-29,Fakhar,Masroor,3.64,"7,7",1.0,Yes,6.49,2024-06-18,Open,2025-05-07,93,43,2024-12-30,649/9,Braford,3.6,Commando 888/47,2,Pre-Sorted for Female,Cross Breed,Dawood,-117.11,141.72
230.55,DZF,DZF,Model Cattle (Karachi),2024-07-24,Maidan Cattle (Karachi),31291,Local crossbred,Cow,.,.,10.2,Natural heat,Fresh,DZF-1010-1,2024-02-23,Ruben,Masroor,3.45,7,1.0,Yes,6.29,2024-09-08,Open,2024-10-09,2,39,2025-05-13,Miss Elegant,Braford,3.6,F1 Gulabi,2,Pre-Sorted for Female,Grey Brahman,Dawood,-233.83,94.7
398.32,DZF,DZF,Maidan Cattle (Karachi),2025-04-11,Model Cattle (Karachi),153,Local crossbred,Cow,Yes,Right,19,CIDR+E2+PGF+ECG,Frozen,DZF-1045-1,2025-01-20,Yaseen,Masroor,3.22,"6,6",1.0,Yes,6.82,2025-02-10,Pregnant,2024-06-23,26,98,2025-03-13,609/9,Braford,-2.6,MR V8 160/8,2,Conventional,Grey Brahman,Dawood,-90.07,158.73
24.43,DZF,DZF,Model Cattle (Karachi),2025-03-27,DZF,328,Local crossbred,Cow,Yes,Left,12.4,CIDR+Estradiol+PGF+GnRH,Fresh,DZF-1045-1,2024-10-17,Masroor,Masroor,3.38,"7,8",1.0,Yes,6.66,2024-10-20,Pregnant,2024-10-02,1,81,2024-02-26,649/9,Angus,2.8,JDH Janos Manso 709,1.4,Pre-Sorted for Female,Grey Brahman,Dawood,-109.2,174.49
459.34,DZF,DZF,Model Cattle (Karachi),2024-04-30,Model Cattle (Karachi),Cholistani,Local crossbred,Cow,Yes,Left,10.5,CIDR+Estradiol+PGF+GnRH,Fresh,DZF-1042-1,2024-02-29,Fakhar,Masroor,3.06,"6,8",1.0,Yes,6.14,2024-08-11,Open,2024-01-16,97,94,2025-04-21,909/9,Grey Brahman,2.3,BRC Dutton 376/8,1.7,Sexed Female,Holstein Friesian,Dawood,-234.03,286.88
464.53,DZF,DZF,Model Cattle (Karachi),2024-12-16,Maidan Cattle (Karachi),350,Local crossbred,Cow,Yes,.,15.5,CIDR+E2+ECG+PGF+GnRH,Frozen,DZF-1042-1,2024-12-16,Masroor,Talal,3.57,"7,7",1.0,Yes,6.7,2025-02-06,Open,2024-08-12,84,56,2024-05-16,18/2,Nukra,2.3,VL Rojo Whiskey 1/48,1.4,Pre-Sorted for Female,Red Brahman,Dawood,-114.99,267.86
91.89,DZF,DZF,Maidan Cattle (Karachi),2024-03-28,Model Cattle (Karachi),205,Local crossbred,Cow,Yes,right,20.5,CIDR+E2+ECG+PGF+GnRH,Frozen,DZF-1055-1,2024-02-02,Hamid,Talal,3.69,5,1.0,Yes,6.22,2024-12-04,Pregnant,2024-07-04,25,59,2024-09-12,BrafordBBQ,Beef crossbred,3,CAUCHITOS KARU SIMON 922/6,3.7,Conventional,Beef Crossbred,Dawood,-113.41,209.22
