Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
1,BRC MR. JUMANJI 67,32216,Prepared For,Units,BRC MR. JUMANJI 67,114
11,12/3/2025,197,Prepared On,1,SIRE Name,107
10,BRC Dutton 376/8,32057,D3,Units,18-Jan-2026,114
10,12/3/2025,328,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,Units,BRC Dutton 376/8,273
9,SIRE,32216,D2,Units,MR. CLAYTON SLUGGER,273
1,BRC MR. JUMANJI 67,R4,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,1,Dawood - Shazain Cattle Farm,243
2. This report serves as official delivery confirmation for the client’s IVF order.,BRC Dutton 376/8,32824,Prepared On,D2,MR. CLAYTON SLUGGER,114
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",BRC Dutton 376/8,R4,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,4,MR. CLAYTON SLUGGER,77
8,6/20/2025,328,Prepared On,4,BRC MR. JUMANJI 67,273
2. This report serves as official delivery confirmation for the client’s IVF order.,Summary ,R4,DAM,5,BRC Dutton 376/8,77
9,BRC MR. JUMANJI 67,32386,CONFIRMED IVF PREGNANCY REPORT,Donor,BRC Dutton 376/8,107
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",5/21/2025,32057,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,2,BRC MR. JUMANJI 67,273
8,11/14/2025,32293,CONFIRMED IVF PREGNANCY REPORT,12,Dawood - Shazain Cattle Farm,DIP
5,ET Date,R1,1st PC Result,D3,Dawood - Shazain Cattle Farm,273
1,MR. CLAYTON SLUGGER,197,D3,12,BRC MR. JUMANJI 67,114
3,5/21/2025,32386,D3,Units,MR. CLAYTON SLUGGER,243
10,Summary ,328,D2,5,BRC MR. JUMANJI 67,77
Notes:,SIRE,328,D2,5,Dawood - Shazain Cattle Farm,107
2,ET Date,32824,Prepared For,5,Dawood - Shazain Cattle Farm,107
4,10/27/2025,32057,D2,Units,BRC MR. JUMANJI 67,107
3,Total,32293,D2,D2,Dawood - Shazain Cattle Farm,273
12,MR. CLAYTON SLUGGER,R1,CONFIRMED IVF PREGNANCY REPORT,Donor,BRC Dutton 376/8,DIP
11,5/21/2025,197,Pregnant,2,18-Jan-2026,243
4,BRC MR. JUMANJI 67,R4,D3,12,Dawood - Shazain Cattle Farm,273
2,MR. CLAYTON SLUGGER,32824,D3,D3,BRC Dutton 376/8,243
2. This report serves as official delivery confirmation for the client’s IVF order.,11/14/2025,272,D2,5,BRC MR. JUMANJI 67,96
2,Summary ,32057,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,12,MR. CLAYTON SLUGGER,114
12,6/20/2025,R1,1st PC Result,4,18-Jan-2026,107
1,Summary ,197,DAM,4,18-Jan-2026,96
6,SIRE,32144,Pregnant,D3,BRC Dutton 376/8,107
1,Total,32216,CONFIRMED IVF PREGNANCY REPORT,4,BRC Dutton 376/8,273
2. This report serves as official delivery confirmation for the client’s IVF order.,ET Date,272,CONFIRMED IVF PREGNANCY REPORT,D3,18-Jan-2026,DIP
11,5/21/2025,32293,Prepared On,2,Dawood - Shazain Cattle Farm,243
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",11/14/2025,Recipient ID,D2,Units,18-Jan-2026,273
1,11/3/2025,Recipient ID,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,D2,18-Jan-2026,DIP
1,SIRE,328,DAM,D2,MR. CLAYTON SLUGGER,273
2,BRC Dutton 376/8,272,D2,4,SIRE Name,96
10,12/3/2025,32824,Pregnant,Units,SIRE Name,77
10,10/27/2025,277,DAM,Units,BRC MR. JUMANJI 67,273
1,ET Date,32386,CONFIRMED IVF PREGNANCY REPORT,D2,Dawood - Shazain Cattle Farm,107
Sr. No,Summary ,277,D3,Units,SIRE Name,114
4,MR. CLAYTON SLUGGER,32057,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,Donor,MR. CLAYTON SLUGGER,243
12,12/3/2025,272,D3,Donor,MR. CLAYTON SLUGGER,273
5,MR. CLAYTON SLUGGER,32057,Prepared On,4,BRC Dutton 376/8,96
6,ET Date,32293,D3,Units,BRC MR. JUMANJI 67,77
3,ET Date,32144,Pregnant,12,SIRE Name,96
3,10/27/2025,32386,D2,Units,SIRE Name,273
8,11/3/2025,272,D3,1,MR. CLAYTON SLUGGER,96
8,12/3/2025,32824,1st PC Result,D2,18-Jan-2026,96
10,ET Date,32216,CONFIRMED IVF PREGNANCY REPORT,5,BRC MR. JUMANJI 67,96
10,SIRE,328,CONFIRMED IVF PREGNANCY REPORT,D3,18-Jan-2026,77
Sr. No,BRC Dutton 376/8,R1,Prepared On,1,Dawood - Shazain Cattle Farm,243
Notes:,MR. CLAYTON SLUGGER,32057,DAM,2,MR. CLAYTON SLUGGER,114
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",SIRE,32144,CONFIRMED IVF PREGNANCY REPORT,12,BRC MR. JUMANJI 67,77
Sr. No,12/3/2025,32144,1st PC Result,Donor,MR. CLAYTON SLUGGER,96
1,ET Date,32057,Prepared For,Units,MR. CLAYTON SLUGGER,273
2. This report serves as official delivery confirmation for the client’s IVF order.,6/20/2025,R1,DAM,4,BRC Dutton 376/8,243
7,Total,277,Pregnant,Donor,18-Jan-2026,77
Notes:,6/20/2025,197,D2,D2,BRC MR. JUMANJI 67,107
8,11/3/2025,32824,Pregnant,Units,BRC Dutton 376/8,114
4,10/27/2025,Recipient ID,1st PC Result,D2,18-Jan-2026,96
6,12/3/2025,32216,D2,5,SIRE Name,DIP
8,Summary ,32144,CONFIRMED IVF PREGNANCY REPORT,5,Dawood - Shazain Cattle Farm,77
Sr. No,6/20/2025,272,Pregnant,D3,MR. CLAYTON SLUGGER,77
9,5/21/2025,32144,Prepared For,Donor,MR. CLAYTON SLUGGER,114
10,10/27/2025,277,D3,Donor,18-Jan-2026,DIP
6,11/14/2025,32293,DAM,5,Dawood - Shazain Cattle Farm,77
2. This report serves as official delivery confirmation for the client’s IVF order.,BRC MR. JUMANJI 67,R4,Prepared For,Units,BRC Dutton 376/8,243
10,Summary ,32824,D3,4,MR. CLAYTON SLUGGER,107
Notes:,6/20/2025,32216,D3,D2,MR. CLAYTON SLUGGER,273
6,12/3/2025,R4,Prepared For,D2,SIRE Name,273
2,11/3/2025,R4,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,12,Dawood - Shazain Cattle Farm,DIP
8,10/27/2025,32216,D3,Units,SIRE Name,77
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",5/21/2025,Recipient ID,CONFIRMED IVF PREGNANCY REPORT,D2,BRC MR. JUMANJI 67,243
8,12/3/2025,32057,Prepared On,5,MR. CLAYTON SLUGGER,273
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",12/3/2025,272,1st PC Result,12,MR. CLAYTON SLUGGER,273
6,12/3/2025,Recipient ID,Pregnant,12,Dawood - Shazain Cattle Farm,DIP
5,Total,R1,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,D3,18-Jan-2026,273
7,5/21/2025,197,CONFIRMED IVF PREGNANCY REPORT,12,SIRE Name,114
2. This report serves as official delivery confirmation for the client’s IVF order.,Total,277,D2,D3,BRC Dutton 376/8,114
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",BRC MR. JUMANJI 67,277,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,2,MR. CLAYTON SLUGGER,114
1,BRC MR. JUMANJI 67,277,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,12,SIRE Name,114
Sr. No,MR. CLAYTON SLUGGER,32144,D3,12,Dawood - Shazain Cattle Farm,107
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",ET Date,197,1st PC Result,D3,SIRE Name,107
Notes:,6/20/2025,272,1st PC Result,12,SIRE Name,77
Notes:,BRC Dutton 376/8,32824,DAM,12,SIRE Name,114
1,Total,328,Prepared For,Donor,18-Jan-2026,243
12,6/20/2025,272,D2,Donor,BRC Dutton 376/8,273
11,10/27/2025,277,D3,5,BRC Dutton 376/8,273
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",6/20/2025,328,Prepared For,12,MR. CLAYTON SLUGGER,114
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",BRC MR. JUMANJI 67,32824,D2,4,BRC Dutton 376/8,114
10,6/20/2025,32293,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,1,MR. CLAYTON SLUGGER,114
2. This report serves as official delivery confirmation for the client’s IVF order.,BRC Dutton 376/8,32386,DAM,Units,Dawood - Shazain Cattle Farm,96
Sr. No,11/3/2025,Recipient ID,Pregnant,5,MR. CLAYTON SLUGGER,107
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",10/27/2025,328,1st PC Result,4,18-Jan-2026,96
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",SIRE,197,Prepared On,12,SIRE Name,DIP
Notes:,5/21/2025,R4,D2,Donor,SIRE Name,243
2. This report serves as official delivery confirmation for the client’s IVF order.,BRC MR. JUMANJI 67,272,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,12,BRC Dutton 376/8,114
10,5/21/2025,R4,DAM,Donor,Dawood - Shazain Cattle Farm,DIP
7,12/3/2025,32216,D3,Units,MR. CLAYTON SLUGGER,DIP
11,12/3/2025,328,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,D2,SIRE Name,77
8,ET Date,272,DAM,2,BRC MR. JUMANJI 67,96
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",10/27/2025,32144,Prepared On,1,18-Jan-2026,107
5,SIRE,328,D2,D2,MR. CLAYTON SLUGGER,273
5,11/14/2025,32144,D3,4,18-Jan-2026,107
10,6/20/2025,32144,1st PC Result,2,MR. CLAYTON SLUGGER,107
1,11/14/2025,R4,1st PC Result,4,Dawood - Shazain Cattle Farm,273
2,BRC MR. JUMANJI 67,277,Prepared On,D3,18-Jan-2026,107
1,10/27/2025,32144,D2,2,BRC Dutton 376/8,243
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",BRC MR. JUMANJI 67,32386,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,12,MR. CLAYTON SLUGGER,77
2,11/14/2025,32824,Prepared For,2,Dawood - Shazain Cattle Farm,273
5,12/3/2025,32293,1st PC Result,5,BRC Dutton 376/8,96
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",10/27/2025,197,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,4,SIRE Name,114
12,11/14/2025,32216,1st PC Result,12,MR. CLAYTON SLUGGER,96
1,SIRE,328,Prepared For,Units,BRC Dutton 376/8,DIP
5,SIRE,32824,Pregnant,2,MR. CLAYTON SLUGGER,243
6,11/3/2025,32216,D3,2,Dawood - Shazain Cattle Farm,DIP
8,11/3/2025,32386,CONFIRMED IVF PREGNANCY REPORT,D3,SIRE Name,77
5,5/21/2025,32216,CONFIRMED IVF PREGNANCY REPORT,D3,BRC Dutton 376/8,114
3,10/27/2025,32144,Prepared On,1,Dawood - Shazain Cattle Farm,96
Sr. No,BRC Dutton 376/8,32216,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,Donor,BRC MR. JUMANJI 67,96
9,12/3/2025,32144,Pregnant,D2,Dawood - Shazain Cattle Farm,114
10,10/27/2025,197,CONFIRMED IVF PREGNANCY REPORT,D2,BRC MR. JUMANJI 67,273
4,10/27/2025,R1,1st PC Result,4,BRC MR. JUMANJI 67,DIP
1,12/3/2025,Recipient ID,DAM,2,18-Jan-2026,273
2,11/3/2025,32144,D3,Units,SIRE Name,107
1,11/3/2025,Recipient ID,D2,D2,BRC Dutton 376/8,273
8,11/3/2025,R4,D2,D2,Dawood - Shazain Cattle Farm,77
10,5/21/2025,32293,D2,1,BRC MR. JUMANJI 67,107
11,11/3/2025,277,Prepared On,4,Dawood - Shazain Cattle Farm,114
6,MR. CLAYTON SLUGGER,32057,DAM,1,Dawood - Shazain Cattle Farm,77
5,Summary ,32144,1st PC Result,5,SIRE Name,77
1,11/14/2025,32216,DAM,4,BRC Dutton 376/8,273
7,BRC MR. JUMANJI 67,R1,Prepared For,12,Dawood - Shazain Cattle Farm,243
7,BRC MR. JUMANJI 67,32144,D3,5,BRC Dutton 376/8,107
5,Total,277,D3,D2,SIRE Name,107
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",BRC Dutton 376/8,R4,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,5,SIRE Name,77
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",SIRE,32144,Pregnant,2,SIRE Name,107
7,11/14/2025,R1,Pregnant,1,18-Jan-2026,DIP
Notes:,Total,32144,D3,12,BRC Dutton 376/8,273
4,12/3/2025,277,Prepared On,D2,BRC MR. JUMANJI 67,243
4,11/3/2025,277,1st PC Result,Donor,Dawood - Shazain Cattle Farm,DIP
Notes:,5/21/2025,Recipient ID,Pregnant,D3,BRC MR. JUMANJI 67,107
4,Summary ,277,CONFIRMED IVF PREGNANCY REPORT,5,BRC MR. JUMANJI 67,96
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",Summary ,32386,D2,D3,18-Jan-2026,77
12,12/3/2025,32057,CONFIRMED IVF PREGNANCY REPORT,Units,SIRE Name,273
Sr. No,5/21/2025,32144,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,5,BRC MR. JUMANJI 67,96
Notes:,Total,32824,D2,Units,Dawood - Shazain Cattle Farm,107
10,BRC MR. JUMANJI 67,32144,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,Donor,Dawood - Shazain Cattle Farm,77
Notes:,BRC MR. JUMANJI 67,272,Prepared On,2,BRC MR. JUMANJI 67,107
Sr. No,BRC MR. JUMANJI 67,328,D3,12,BRC Dutton 376/8,243
9,Summary ,Recipient ID,Prepared For,Donor,BRC MR. JUMANJI 67,273
1,6/20/2025,32824,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,1,18-Jan-2026,77
2. This report serves as official delivery confirmation for the client’s IVF order.,Summary ,32293,Prepared On,Units,MR. CLAYTON SLUGGER,77
10,MR. CLAYTON SLUGGER,328,1st PC Result,1,MR. CLAYTON SLUGGER,DIP
8,12/3/2025,32824,DAM,D2,MR. CLAYTON SLUGGER,DIP
12,MR. CLAYTON SLUGGER,32293,Pregnant,4,MR. CLAYTON SLUGGER,77
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",11/3/2025,32216,D2,Donor,BRC MR. JUMANJI 67,96
12,MR. CLAYTON SLUGGER,32386,D3,12,MR. CLAYTON SLUGGER,96
1,BRC Dutton 376/8,R1,CONFIRMED IVF PREGNANCY REPORT,12,18-Jan-2026,114
7,BRC MR. JUMANJI 67,328,1st PC Result,D3,BRC Dutton 376/8,273
7,SIRE,32057,Pregnant,D3,SIRE Name,77
8,MR. CLAYTON SLUGGER,R1,1st PC Result,1,BRC MR. JUMANJI 67,77
11,Summary ,32057,Pregnant,Units,BRC Dutton 376/8,DIP
5,BRC Dutton 376/8,32144,DAM,D2,18-Jan-2026,243
12,ET Date,328,1st PC Result,1,18-Jan-2026,107
Notes:,BRC MR. JUMANJI 67,Recipient ID,Pregnant,Units,BRC Dutton 376/8,96
Sr. No,10/27/2025,32057,D3,D2,Dawood - Shazain Cattle Farm,96
4,11/3/2025,197,Prepared On,D2,SIRE Name,96
10,6/20/2025,R4,D3,4,18-Jan-2026,DIP
Notes:,12/3/2025,32824,D2,2,BRC Dutton 376/8,96
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",BRC Dutton 376/8,32216,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,2,MR. CLAYTON SLUGGER,273
10,6/20/2025,Recipient ID,D3,D2,Dawood - Shazain Cattle Farm,114
Sr. No,Summary ,32386,D3,1,SIRE Name,243
8,BRC Dutton 376/8,328,D2,5,BRC MR. JUMANJI 67,114
3,11/14/2025,R4,Prepared On,Donor,SIRE Name,96
1,MR. CLAYTON SLUGGER,32216,Prepared For,Donor,BRC MR. JUMANJI 67,273
2. This report serves as official delivery confirmation for the client’s IVF order.,Summary ,32293,D2,D2,BRC MR. JUMANJI 67,107
1,BRC MR. JUMANJI 67,R1,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,2,BRC Dutton 376/8,273
1,5/21/2025,197,Prepared For,4,Dawood - Shazain Cattle Farm,DIP
9,6/20/2025,32293,Pregnant,5,SIRE Name,114
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",5/21/2025,32386,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,4,MR. CLAYTON SLUGGER,114
2. This report serves as official delivery confirmation for the client’s IVF order.,BRC MR. JUMANJI 67,272,CONFIRMED IVF PREGNANCY REPORT,4,SIRE Name,77
10,11/3/2025,328,1st PC Result,4,18-Jan-2026,273
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",BRC MR. JUMANJI 67,R1,1st PC Result,4,Dawood - Shazain Cattle Farm,DIP
1,MR. CLAYTON SLUGGER,32144,1st PC Result,5,Dawood - Shazain Cattle Farm,273
12,BRC Dutton 376/8,32824,Prepared For,2,MR. CLAYTON SLUGGER,DIP
1,SIRE,32824,Prepared For,D2,18-Jan-2026,DIP
6,11/14/2025,328,DAM,12,Dawood - Shazain Cattle Farm,273
11,10/27/2025,197,1st PC Result,1,Dawood - Shazain Cattle Farm,107
6,SIRE,32216,CONFIRMED IVF PREGNANCY REPORT,D3,BRC MR. JUMANJI 67,96
3,Summary ,Recipient ID,1st PC Result,D3,BRC Dutton 376/8,77
Sr. No,12/3/2025,R4,1st PC Result,D2,BRC MR. JUMANJI 67,96
1,SIRE,R4,Pregnant,12,Dawood - Shazain Cattle Farm,273
2,MR. CLAYTON SLUGGER,32293,Prepared On,Units,18-Jan-2026,96
1,MR. CLAYTON SLUGGER,32216,Prepared For,1,BRC MR. JUMANJI 67,273
9,BRC Dutton 376/8,Recipient ID,CONFIRMED IVF PREGNANCY REPORT,Donor,18-Jan-2026,243
2. This report serves as official delivery confirmation for the client’s IVF order.,ET Date,32144,DAM,5,BRC Dutton 376/8,243
1,ET Date,Recipient ID,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,Units,Dawood - Shazain Cattle Farm,243
12,Total,32386,Pregnant,Units,BRC Dutton 376/8,96
6,BRC Dutton 376/8,32216,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,1,SIRE Name,96
9,MR. CLAYTON SLUGGER,328,Prepared On,Units,SIRE Name,107
10,6/20/2025,Recipient ID,Prepared On,Units,BRC MR. JUMANJI 67,77
4,5/21/2025,277,DAM,5,SIRE Name,77
7,11/3/2025,32216,D3,D2,18-Jan-2026,107
10,Summary ,277,Pregnant,5,18-Jan-2026,273
1,BRC Dutton 376/8,328,CONFIRMED IVF PREGNANCY REPORT,2,BRC MR. JUMANJI 67,77
2. This report serves as official delivery confirmation for the client’s IVF order.,MR. CLAYTON SLUGGER,32216,D2,5,SIRE Name,273
6,11/14/2025,277,CONFIRMED IVF PREGNANCY REPORT,Units,BRC MR. JUMANJI 67,DIP
1,Total,277,Pregnant,4,18-Jan-2026,114
9,Summary ,272,Pregnant,5,18-Jan-2026,114
Notes:,BRC Dutton 376/8,32293,D3,D2,BRC Dutton 376/8,96
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",11/14/2025,32144,Prepared For,D3,18-Jan-2026,243
8,Summary ,32824,Pregnant,D2,Dawood - Shazain Cattle Farm,273
Notes:,ET Date,32144,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,D2,Dawood - Shazain Cattle Farm,107
10,5/21/2025,32057,CONFIRMED IVF PREGNANCY REPORT,Units,SIRE Name,243
5,Summary ,32216,DAM,Donor,SIRE Name,77
8,6/20/2025,32824,D2,1,Dawood - Shazain Cattle Farm,77
4,Summary ,32386,CONFIRMED IVF PREGNANCY REPORT,1,Dawood - Shazain Cattle Farm,114
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",Total,32144,D2,Units,MR. CLAYTON SLUGGER,114
4,MR. CLAYTON SLUGGER,Recipient ID,DAM,Units,SIRE Name,114
6,12/3/2025,32386,1st PC Result,12,18-Jan-2026,243
7,MR. CLAYTON SLUGGER,32824,DAM,Units,BRC Dutton 376/8,114
2. This report serves as official delivery confirmation for the client’s IVF order.,BRC Dutton 376/8,32144,CONFIRMED IVF PREGNANCY REPORT,1,Dawood - Shazain Cattle Farm,96
Notes:,SIRE,328,Prepared For,5,SIRE Name,DIP
3,SIRE,328,Prepared For,D2,MR. CLAYTON SLUGGER,107
12,MR. CLAYTON SLUGGER,277,Prepared On,D3,MR. CLAYTON SLUGGER,96
11,10/27/2025,32386,1st PC Result,5,BRC MR. JUMANJI 67,77
Notes:,SIRE,32216,1st PC Result,5,Dawood - Shazain Cattle Farm,107
11,10/27/2025,R4,D3,4,BRC MR. JUMANJI 67,96
10,12/3/2025,R4,D2,1,SIRE Name,243
6,Total,32144,Pregnant,D2,MR. CLAYTON SLUGGER,243
Sr. No,MR. CLAYTON SLUGGER,32144,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,D2,Dawood - Shazain Cattle Farm,96
4,ET Date,32216,D2,1,SIRE Name,77
10,MR. CLAYTON SLUGGER,32057,CONFIRMED IVF PREGNANCY REPORT,D2,SIRE Name,96
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",MR. CLAYTON SLUGGER,277,D2,2,BRC MR. JUMANJI 67,243
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",Total,32824,DAM,12,BRC MR. JUMANJI 67,114
8,BRC MR. JUMANJI 67,32144,D3,Units,BRC MR. JUMANJI 67,273
8,5/21/2025,32386,D3,5,18-Jan-2026,107
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",11/14/2025,32144,D2,D3,MR. CLAYTON SLUGGER,DIP
8,BRC MR. JUMANJI 67,Recipient ID,D2,Units,18-Jan-2026,DIP
10,ET Date,32824,Prepared On,D2,SIRE Name,107
Notes:,SIRE,Recipient ID,Prepared For,2,Dawood - Shazain Cattle Farm,114
Notes:,12/3/2025,32057,CONFIRMED IVF PREGNANCY REPORT,1,BRC MR. JUMANJI 67,96
7,BRC MR. JUMANJI 67,32386,Prepared On,Donor,SIRE Name,107
6,11/14/2025,277,DAM,Donor,Dawood - Shazain Cattle Farm,114
2. This report serves as official delivery confirmation for the client’s IVF order.,ET Date,328,DAM,5,SIRE Name,273
Sr. No,11/3/2025,32824,Prepared On,2,18-Jan-2026,273
4,10/27/2025,Recipient ID,DAM,Units,18-Jan-2026,114
2,Total,R1,Pregnant,2,MR. CLAYTON SLUGGER,96
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",SIRE,R1,Prepared For,2,BRC Dutton 376/8,DIP
5,12/3/2025,272,Pregnant,4,SIRE Name,114
Sr. No,11/3/2025,32824,D3,D3,18-Jan-2026,107
2. This report serves as official delivery confirmation for the client’s IVF order.,10/27/2025,32293,D2,Units,BRC Dutton 376/8,243
11,12/3/2025,328,D3,Units,Dawood - Shazain Cattle Farm,114
Sr. No,6/20/2025,Recipient ID,DAM,Units,SIRE Name,243
5,Summary ,197,Pregnant,1,BRC MR. JUMANJI 67,107
6,5/21/2025,272,1st PC Result,Units,SIRE Name,273
8,BRC MR. JUMANJI 67,32057,Prepared On,2,BRC MR. JUMANJI 67,77
10,Total,32057,Prepared For,Donor,Dawood - Shazain Cattle Farm,96
4,MR. CLAYTON SLUGGER,277,Pregnant,12,MR. CLAYTON SLUGGER,96
9,12/3/2025,32216,D2,4,Dawood - Shazain Cattle Farm,77
Sr. No,11/3/2025,32293,DAM,5,Dawood - Shazain Cattle Farm,107
