Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
13,SIRE,32171,Angus,04-08,17-Jan-2026,JDH Janos Manso 709,DIP
26,12/17/2025,08-31,Pregnant,827,Angus,MR H AUBURN ROJO 706,144
9,Total,10-12,Grey Brahman,2/4,Beef Master,MR H AUBURN ROJO 706,63
29,SIRE,300,Prepared On,2/4,AQ Cattle,BRC Dutton 376/8,107
1,Beef Master,3/30,Prepared For,909,Red Brahman,JDH Janos Manso 709,144
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",10/26/2025,3/30,Grey Brahman,Units,Donor Breed,JDH Janos Manso 709,96
13,11/3/2025,174,Pregnant,2/4,17-Jan-2026,SIRE Name,68
23,SIRE,31291,Pregnant,257,AQ Cattle,JDH Janos Manso 709,63
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",Summary ,320,Red Brahman,29M,17-Jan-2026,JDH Janos Manso 709,144
25,Total,229,Pregnant,609/9,Red Brahman,Reconquista 413 Eterno GC Bartolome,96
25,10/27/2025,2/22,Prepared For,23035,AQ Cattle,Reconquista 413 Eterno GC Bartolome,DIP
30,11/3/2025,307,Angus,04-08,Red Brahman,SIRE Name,115
23,Red Brahman,250,1st PC Result,257,17-Jan-2026,Reconquista 413 Eterno GC Bartolome,144
16,Beef Master,32145,Prepared For,Donor,Red Brahman,BRC Dutton 376/8,144
8,10/26/2025,31724,Grey Brahman,204,Donor Breed,MR H AUBURN ROJO 706,144
23,10/27/2025,173,Beef Master,820/4,Grey Brahman,JDH Janos Manso 709,DIP
2,Summary ,229,CONFIRMED IVF PREGNANCY REPORT,827,AQ Cattle,Reconquista 413 Eterno GC Bartolome,68
10,ET Date,190,DAM,Donor,17-Jan-2026,SIRE Name,144
31,10/26/2025,320,Prepared For,23035,17-Jan-2026,BRC MR. JUMANJI 67,115
20,Red Brahman,Recipient ID,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,609,Grey Brahman,Reconquista 413 Eterno GC Bartolome,144
2,SIRE,198,CONFIRMED IVF PREGNANCY REPORT,Units,17-Jan-2026,BRC MR. JUMANJI 67,115
3,10/26/2025,243,Prepared For,257,Grey Brahman,MR H AUBURN ROJO 706,63
1,Angus,32159,1st PC Result,2/4,Angus,BRC MR. JUMANJI 67,DIP
22,Red Brahman,Recipient ID,Prepared On,2,Red Brahman,BRC MR. JUMANJI 67,144
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",10/27/2025,3/14,Beef Master,1,17-Jan-2026,SIRE Name,144
13,SIRE,10-12,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,Units,Angus,BRC MR. JUMANJI 67,63
11,11/3/2025,174,Prepared On,609,Angus,SIRE Name,96
14,SIRE,300,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,04-08,Grey Brahman,MR H AUBURN ROJO 706,63
30,Grey Brahman,31291,Beef Master,909,Grey Brahman,BRC Dutton 376/8,114
32,Summary ,354,Pregnant,612,Donor Breed,BRC MR. JUMANJI 67,115
27,12/12/2025,Recipient ID,Red Brahman,609,Grey Brahman,BRC MR. JUMANJI 67,115
31,10/27/2025,08-28,DAM,909,AQ Cattle,BRC Dutton 376/8,68
5,SIRE,300,CONFIRMED IVF PREGNANCY REPORT,649,17-Jan-2026,MR H AUBURN ROJO 706,144
2,9/27/2025,32171,DAM,609/9,Angus,BRC Dutton 376/8,114
23,Summary ,31874,Prepared On,820/4,17-Jan-2026,BRC MR. JUMANJI 67,96
8,10/26/2025,243,Prepared For,827,Donor Breed,BRC Dutton 376/8,63
24,Red Brahman,31828,Grey Brahman,609,Grey Brahman,SIRE Name,DIP
23,Summary ,182,1st PC Result,Units,Donor Breed,MR H AUBURN ROJO 706,96
30,11/14/2025,250,Prepared For,608,17-Jan-2026,MR H AUBURN ROJO 706,107
7,Angus,32171,1st PC Result,649/9,Red Brahman,BRC MR. JUMANJI 67,63
34,Grey Brahman,362,Beef Master,2/4,Red Brahman,Reconquista 413 Eterno GC Bartolome,114
31,Total,2/22,Beef Master,04-08,Red Brahman,Reconquista 413 Eterno GC Bartolome,DIP
19,11/3/2025,185,Grey Brahman,23035,Grey Brahman,BRC MR. JUMANJI 67,DIP
Notes:,9/27/2025,32159,DAM,612,Angus,MR H AUBURN ROJO 706,115
Sr. No,10/27/2025,32171,Red Brahman,909,Beef Master,SIRE Name,107
34,11/14/2025,250,Red Brahman,257,Beef Master,BRC Dutton 376/8,96
10,ET Date,219,Prepared For,649/9,AQ Cattle,BRC MR. JUMANJI 67,68
8,9/27/2025,10-12,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,827,17-Jan-2026,BRC MR. JUMANJI 67,63
27,10/27/2025,3/5,Grey Brahman,1,AQ Cattle,Reconquista 413 Eterno GC Bartolome,68
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",Summary ,219,Grey Brahman,608,Beef Master,JDH Janos Manso 709,114
27,Red Brahman,10-12,Prepared For,609,Grey Brahman,MR H AUBURN ROJO 706,144
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",11/14/2025,173,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,Units,AQ Cattle,JDH Janos Manso 709,107
18,Angus,Recipient ID,Grey Brahman,612,AQ Cattle,SIRE Name,96
15,12/12/2025,198,Red Brahman,402,Red Brahman,BRC Dutton 376/8,68
12,Grey Brahman,32145,Pregnant,23035,Angus,MR H AUBURN ROJO 706,96
10,11/14/2025,219,Angus,204,AQ Cattle,Reconquista 413 Eterno GC Bartolome,96
2,Total,320,1st PC Result,34,AQ Cattle,BRC MR. JUMANJI 67,115
31,12/12/2025,301,DAM,Units,AQ Cattle,SIRE Name,107
3,11/14/2025,2/22,Prepared For,609/9,Red Brahman,JDH Janos Manso 709,115
Notes:,10/27/2025,243,Prepared On,29M,17-Jan-2026,MR H AUBURN ROJO 706,DIP
24,11/3/2025,307,Grey Brahman,649,Grey Brahman,BRC MR. JUMANJI 67,114
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",Beef Master,185,Beef Master,608,17-Jan-2026,BRC Dutton 376/8,144
19,11/3/2025,3/5,Grey Brahman,29M,Donor Breed,BRC Dutton 376/8,115
34,10/27/2025,3/14,Angus,257,17-Jan-2026,BRC Dutton 376/8,107
27,ET Date,08-28,Red Brahman,04-08,AQ Cattle,JDH Janos Manso 709,68
30,10/26/2025,250,Angus,649/9,17-Jan-2026,BRC Dutton 376/8,107
20,Beef Master,173,CONFIRMED IVF PREGNANCY REPORT,23,Beef Master,BRC Dutton 376/8,68
2. This report serves as official delivery confirmation for the client’s IVF order.,11/3/2025,362,Beef Master,612,AQ Cattle,MR H AUBURN ROJO 706,114
23,Summary ,6/20,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,609,Donor Breed,SIRE Name,68
22,10/26/2025,3/30,Beef Master,8,17-Jan-2026,MR H AUBURN ROJO 706,DIP
18,10/27/2025,3/8,Beef Master,827,Beef Master,JDH Janos Manso 709,115
16,10/27/2025,307,Prepared For,827,Red Brahman,SIRE Name,DIP
5,ET Date,08-31,Beef Master,820/4,Grey Brahman,MR H AUBURN ROJO 706,114
20,11/3/2025,DZ 81,Angus,34,17-Jan-2026,Reconquista 413 Eterno GC Bartolome,96
31,Angus,354,Beef Master,649,Red Brahman,BRC Dutton 376/8,DIP
10,ET Date,DZ 81,Grey Brahman,649/9,Angus,BRC MR. JUMANJI 67,96
4,10/26/2025,31291,Pregnant,34,AQ Cattle,SIRE Name,96
15,Total,32171,Angus,649/9,Donor Breed,BRC MR. JUMANJI 67,144
17,Red Brahman,362,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,909,AQ Cattle,Reconquista 413 Eterno GC Bartolome,63
12,11/14/2025,3/5,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,204,Donor Breed,SIRE Name,96
16,Angus,6/20,CONFIRMED IVF PREGNANCY REPORT,2,Donor Breed,BRC Dutton 376/8,107
24,11/3/2025,219,1st PC Result,8,17-Jan-2026,MR H AUBURN ROJO 706,107
16,Grey Brahman,301,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,Units,Grey Brahman,MR H AUBURN ROJO 706,144
23,SIRE,08-28,CONFIRMED IVF PREGNANCY REPORT,909,Red Brahman,BRC Dutton 376/8,115
10,9/27/2025,31828,Red Brahman,2/4,Donor Breed,BRC Dutton 376/8,DIP
2. This report serves as official delivery confirmation for the client’s IVF order.,Grey Brahman,174,Grey Brahman,204,17-Jan-2026,Reconquista 413 Eterno GC Bartolome,144
20,11/14/2025,32171,Grey Brahman,204,17-Jan-2026,JDH Janos Manso 709,115
28,Red Brahman,182,Angus,909,Angus,MR H AUBURN ROJO 706,144
12,Grey Brahman,DZ 81,CONFIRMED IVF PREGNANCY REPORT,34,Red Brahman,Reconquista 413 Eterno GC Bartolome,68
31,ET Date,6/20,CONFIRMED IVF PREGNANCY REPORT,609/9,AQ Cattle,BRC MR. JUMANJI 67,144
4,9/27/2025,10-12,Prepared For,29M,Red Brahman,MR H AUBURN ROJO 706,107
13,11/14/2025,173,Red Brahman,Units,Beef Master,BRC MR. JUMANJI 67,115
9,Summary ,185,Prepared On,Units,17-Jan-2026,Reconquista 413 Eterno GC Bartolome,63
25,11/14/2025,Recipient ID,DAM,649/9,17-Jan-2026,BRC Dutton 376/8,107
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",Beef Master,198,DAM,2/4,Red Brahman,BRC Dutton 376/8,115
23,Angus,31828,Red Brahman,402,Angus,BRC MR. JUMANJI 67,63
33,10/27/2025,198,DAM,820/4,Beef Master,MR H AUBURN ROJO 706,114
9,9/27/2025,08-31,Red Brahman,612,Angus,Reconquista 413 Eterno GC Bartolome,107
24,9/27/2025,08-28,Pregnant,2,17-Jan-2026,Reconquista 413 Eterno GC Bartolome,DIP
32,10/27/2025,250,Angus,649,Beef Master,JDH Janos Manso 709,DIP
15,SIRE,243,Prepared On,909,Beef Master,SIRE Name,68
26,10/26/2025,354,CONFIRMED IVF PREGNANCY REPORT,8,Red Brahman,JDH Janos Manso 709,144
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",Total,31874,Prepared For,204,Grey Brahman,Reconquista 413 Eterno GC Bartolome,115
25,SIRE,08-31,Beef Master,827,17-Jan-2026,JDH Janos Manso 709,114
33,Grey Brahman,301,Grey Brahman,23,Angus,BRC MR. JUMANJI 67,DIP
31,11/3/2025,97,1st PC Result,2,17-Jan-2026,BRC MR. JUMANJI 67,114
2,11/14/2025,31291,Grey Brahman,23035,Donor Breed,BRC Dutton 376/8,115
30,ET Date,08-31,Angus,649,Beef Master,BRC Dutton 376/8,144
32,12/12/2025,243,CONFIRMED IVF PREGNANCY REPORT,820/4,Beef Master,MR H AUBURN ROJO 706,114
30,10/27/2025,31291,Red Brahman,649/9,17-Jan-2026,Reconquista 413 Eterno GC Bartolome,115
31,10/26/2025,32145,CONFIRMED IVF PREGNANCY REPORT,Units,Beef Master,SIRE Name,DIP
7,SIRE,97,CONFIRMED IVF PREGNANCY REPORT,402,17-Jan-2026,BRC Dutton 376/8,68
22,10/27/2025,31874,Pregnant,23,AQ Cattle,Reconquista 413 Eterno GC Bartolome,68
9,Angus,362,Prepared On,204,Grey Brahman,BRC MR. JUMANJI 67,114
19,9/27/2025,243,Red Brahman,204,Donor Breed,BRC MR. JUMANJI 67,68
21,Grey Brahman,08-28,Prepared On,609/9,Angus,SIRE Name,114
26,Red Brahman,08-31,Grey Brahman,649,Beef Master,BRC MR. JUMANJI 67,DIP
Sr. No,11/14/2025,198,Red Brahman,Donor,Beef Master,MR H AUBURN ROJO 706,63
27,11/14/2025,10-12,CONFIRMED IVF PREGNANCY REPORT,23,Grey Brahman,BRC Dutton 376/8,144
9,12/17/2025,307,CONFIRMED IVF PREGNANCY REPORT,29M,Donor Breed,Reconquista 413 Eterno GC Bartolome,68
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",Red Brahman,243,Beef Master,Donor,Beef Master,JDH Janos Manso 709,68
21,12/12/2025,250,Grey Brahman,820/4,Donor Breed,Reconquista 413 Eterno GC Bartolome,63
23,Summary ,2/22,Grey Brahman,204,Donor Breed,MR H AUBURN ROJO 706,63
15,12/12/2025,10-12,Grey Brahman,23,Grey Brahman,BRC MR. JUMANJI 67,107
28,Beef Master,31828,CONFIRMED IVF PREGNANCY REPORT,649/9,17-Jan-2026,MR H AUBURN ROJO 706,DIP
31,10/26/2025,301,Grey Brahman,29M,Beef Master,BRC Dutton 376/8,63
8,Summary ,174,Pregnant,2,AQ Cattle,Reconquista 413 Eterno GC Bartolome,115
Sr. No,Red Brahman,31874,CONFIRMED IVF PREGNANCY REPORT,2/4,Beef Master,BRC MR. JUMANJI 67,114
34,ET Date,32171,Beef Master,29M,Red Brahman,BRC MR. JUMANJI 67,114
14,9/27/2025,198,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,04-08,Angus,SIRE Name,DIP
19,12/17/2025,10-12,CONFIRMED IVF PREGNANCY REPORT,1,Grey Brahman,BRC Dutton 376/8,107
9,Red Brahman,3/14,DAM,608,AQ Cattle,SIRE Name,114
9,Summary ,97,Red Brahman,04-08,17-Jan-2026,SIRE Name,115
12,11/3/2025,10-12,DAM,Units,17-Jan-2026,BRC Dutton 376/8,68
10,9/27/2025,08-31,Beef Master,34,AQ Cattle,Reconquista 413 Eterno GC Bartolome,115
3,Angus,31874,Angus,609,Grey Brahman,SIRE Name,114
10,12/17/2025,198,Red Brahman,Units,17-Jan-2026,MR H AUBURN ROJO 706,144
8,10/27/2025,250,Beef Master,Units,Grey Brahman,Reconquista 413 Eterno GC Bartolome,114
1,10/26/2025,307,CONFIRMED IVF PREGNANCY REPORT,Units,17-Jan-2026,Reconquista 413 Eterno GC Bartolome,63
17,10/26/2025,243,Angus,29M,Grey Brahman,BRC MR. JUMANJI 67,114
16,9/27/2025,185,Pregnant,04-08,Red Brahman,SIRE Name,68
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",9/27/2025,250,Grey Brahman,204,AQ Cattle,Reconquista 413 Eterno GC Bartolome,DIP
18,Grey Brahman,08-31,Angus,612,Red Brahman,MR H AUBURN ROJO 706,68
14,Angus,32159,Prepared On,8,AQ Cattle,MR H AUBURN ROJO 706,68
11,Red Brahman,354,Prepared For,609,Donor Breed,BRC MR. JUMANJI 67,68
14,11/3/2025,3/30,DAM,23035,17-Jan-2026,Reconquista 413 Eterno GC Bartolome,115
1,Beef Master,31874,Red Brahman,23,Red Brahman,SIRE Name,63
27,12/17/2025,08-28,Grey Brahman,23,Red Brahman,BRC Dutton 376/8,68
14,Beef Master,08-31,1st PC Result,649,17-Jan-2026,BRC Dutton 376/8,DIP
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",Summary ,182,DAM,909,AQ Cattle,SIRE Name,115
Sr. No,11/14/2025,Recipient ID,Pregnant,Units,17-Jan-2026,MR H AUBURN ROJO 706,DIP
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",12/17/2025,3/30,1st PC Result,23035,Angus,MR H AUBURN ROJO 706,144
8,10/27/2025,198,CONFIRMED IVF PREGNANCY REPORT,23035,17-Jan-2026,BRC Dutton 376/8,114
34,12/17/2025,300,CONFIRMED IVF PREGNANCY REPORT,Units,17-Jan-2026,Reconquista 413 Eterno GC Bartolome,115
10,11/14/2025,173,Angus,649/9,Grey Brahman,MR H AUBURN ROJO 706,68
9,SIRE,362,Beef Master,649/9,AQ Cattle,MR H AUBURN ROJO 706,115
9,Summary ,3/5,1st PC Result,608,Grey Brahman,MR H AUBURN ROJO 706,68
25,Beef Master,32145,Prepared For,1,Red Brahman,BRC Dutton 376/8,63
13,ET Date,2/22,Beef Master,23035,Grey Brahman,MR H AUBURN ROJO 706,68
Notes:,11/3/2025,3/14,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,612,Donor Breed,JDH Janos Manso 709,115
6,ET Date,3/30,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,2/4,AQ Cattle,BRC Dutton 376/8,96
8,10/27/2025,3/8,Pregnant,820/4,Grey Brahman,Reconquista 413 Eterno GC Bartolome,DIP
30,10/26/2025,190,Prepared On,820/4,Beef Master,MR H AUBURN ROJO 706,107
4,Summary ,300,Prepared On,612,Donor Breed,Reconquista 413 Eterno GC Bartolome,96
8,9/27/2025,354,Red Brahman,909,AQ Cattle,Reconquista 413 Eterno GC Bartolome,144
18,10/26/2025,190,Beef Master,609/9,AQ Cattle,Reconquista 413 Eterno GC Bartolome,DIP
12,Angus,32171,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,827,Red Brahman,Reconquista 413 Eterno GC Bartolome,63
1,SIRE,97,Prepared For,609,AQ Cattle,BRC Dutton 376/8,63
21,Summary ,362,CONFIRMED IVF PREGNANCY REPORT,2,Grey Brahman,JDH Janos Manso 709,144
11,10/27/2025,10-12,CONFIRMED IVF PREGNANCY REPORT,827,AQ Cattle,SIRE Name,68
26,Summary ,31874,Beef Master,04-08,Red Brahman,SIRE Name,114
11,12/12/2025,354,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,1,Grey Brahman,BRC Dutton 376/8,68
26,10/26/2025,32171,Red Brahman,612,Donor Breed,Reconquista 413 Eterno GC Bartolome,107
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",12/12/2025,32159,Prepared For,609,Grey Brahman,BRC Dutton 376/8,DIP
Sr. No,10/26/2025,32145,Prepared For,2,Red Brahman,MR H AUBURN ROJO 706,63
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",12/12/2025,31828,Prepared On,608,Beef Master,Reconquista 413 Eterno GC Bartolome,144
33,ET Date,97,Angus,34,AQ Cattle,BRC Dutton 376/8,63
1,Summary ,362,Prepared For,608,Donor Breed,SIRE Name,107
1,12/17/2025,300,Beef Master,402,Angus,BRC MR. JUMANJI 67,68
16,Red Brahman,182,CONFIRMED IVF PREGNANCY REPORT,820/4,Donor Breed,MR H AUBURN ROJO 706,114
12,10/26/2025,198,Pregnant,34,Donor Breed,BRC Dutton 376/8,144
16,Angus,31828,Prepared On,608,Red Brahman,BRC Dutton 376/8,107
31,SIRE,190,1st PC Result,608,Grey Brahman,Reconquista 413 Eterno GC Bartolome,DIP
31,12/12/2025,173,Pregnant,827,17-Jan-2026,SIRE Name,96
32,Angus,300,Prepared On,2,Donor Breed,SIRE Name,68
12,11/3/2025,301,DAM,204,Beef Master,BRC MR. JUMANJI 67,DIP
2. This report serves as official delivery confirmation for the client’s IVF order.,Grey Brahman,Recipient ID,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,04-08,Angus,MR H AUBURN ROJO 706,68
16,Total,2/22,Angus,23035,Donor Breed,JDH Janos Manso 709,96
Notes:,12/17/2025,185,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,204,Red Brahman,JDH Janos Manso 709,114
15,Summary ,2/22,Red Brahman,609/9,Grey Brahman,SIRE Name,68
24,SIRE,3/14,Red Brahman,Units,Angus,MR H AUBURN ROJO 706,63
28,Angus,32145,Red Brahman,609,Red Brahman,BRC MR. JUMANJI 67,63
10,12/12/2025,185,DAM,1,Angus,MR H AUBURN ROJO 706,96
19,12/17/2025,3/14,Angus,23,AQ Cattle,BRC Dutton 376/8,115
8,ET Date,300,Pregnant,2,Grey Brahman,SIRE Name,115
Sr. No,Total,307,Grey Brahman,649/9,Donor Breed,BRC Dutton 376/8,DIP
15,10/27/2025,08-31,1st PC Result,2/4,AQ Cattle,Reconquista 413 Eterno GC Bartolome,68
5,12/17/2025,250,Grey Brahman,257,Grey Brahman,SIRE Name,DIP
30,Grey Brahman,3/30,Red Brahman,612,Angus,JDH Janos Manso 709,114
31,Grey Brahman,3/8,DAM,612,Angus,BRC Dutton 376/8,68
22,12/17/2025,3/5,Red Brahman,Units,Angus,BRC MR. JUMANJI 67,144
12,12/17/2025,32145,CONFIRMED IVF PREGNANCY REPORT,608,Red Brahman,BRC MR. JUMANJI 67,96
2,12/12/2025,3/5,Grey Brahman,29M,Donor Breed,JDH Janos Manso 709,115
8,ET Date,185,Prepared For,609,Red Brahman,SIRE Name,144
17,Beef Master,32159,Angus,8,Red Brahman,JDH Janos Manso 709,68
26,10/26/2025,185,Beef Master,34,Red Brahman,Reconquista 413 Eterno GC Bartolome,63
26,Grey Brahman,32145,1st PC Result,257,Beef Master,SIRE Name,144
28,Summary ,354,CONFIRMED IVF PREGNANCY REPORT,649/9,17-Jan-2026,Reconquista 413 Eterno GC Bartolome,144
29,Total,31874,CONFIRMED IVF PREGNANCY REPORT,8,Red Brahman,BRC MR. JUMANJI 67,DIP
24,10/26/2025,300,Angus,1,Red Brahman,BRC MR. JUMANJI 67,DIP
30,10/26/2025,08-31,Red Brahman,820/4,Donor Breed,BRC MR. JUMANJI 67,DIP
12,Beef Master,174,Red Brahman,257,AQ Cattle,MR H AUBURN ROJO 706,63
30,ET Date,Recipient ID,Beef Master,2,17-Jan-2026,Reconquista 413 Eterno GC Bartolome,107
12,12/17/2025,174,Beef Master,649,Angus,MR H AUBURN ROJO 706,DIP
14,12/12/2025,174,Angus,820/4,AQ Cattle,SIRE Name,68
15,Grey Brahman,185,Angus,23035,Red Brahman,BRC MR. JUMANJI 67,114
4,Angus,3/5,Red Brahman,609,Grey Brahman,Reconquista 413 Eterno GC Bartolome,63
22,Summary ,3/14,Pregnant,1,AQ Cattle,SIRE Name,63
4,12/17/2025,182,CONFIRMED IVF PREGNANCY REPORT,257,17-Jan-2026,BRC MR. JUMANJI 67,DIP
10,Beef Master,301,1st PC Result,2/4,17-Jan-2026,Reconquista 413 Eterno GC Bartolome,DIP
28,12/17/2025,190,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,Units,Grey Brahman,Reconquista 413 Eterno GC Bartolome,114
2,SIRE,32145,1st PC Result,1,Donor Breed,SIRE Name,107
18,Total,320,Prepared For,2,Grey Brahman,BRC MR. JUMANJI 67,DIP
25,SIRE,3/8,Pregnant,609/9,Grey Brahman,BRC Dutton 376/8,115
15,11/3/2025,32159,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,23035,Angus,BRC MR. JUMANJI 67,107
10,12/17/2025,174,DAM,04-08,Donor Breed,SIRE Name,107
31,SIRE,185,Prepared On,23,17-Jan-2026,BRC Dutton 376/8,63
9,Red Brahman,301,Pregnant,2,Grey Brahman,BRC Dutton 376/8,DIP
25,10/27/2025,354,DAM,820/4,Grey Brahman,MR H AUBURN ROJO 706,107
19,Beef Master,190,Angus,34,Grey Brahman,BRC Dutton 376/8,68
5,Beef Master,Recipient ID,CONFIRMED IVF PREGNANCY REPORT,34,Red Brahman,Reconquista 413 Eterno GC Bartolome,144
4,12/12/2025,219,CONFIRMED IVF PREGNANCY REPORT,29M,Beef Master,Reconquista 413 Eterno GC Bartolome,DIP
26,Beef Master,10-12,CONFIRMED IVF PREGNANCY REPORT,Donor,Red Brahman,MR H AUBURN ROJO 706,115
5,10/27/2025,Recipient ID,Grey Brahman,649,Grey Brahman,SIRE Name,107
27,11/3/2025,3/30,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,8,AQ Cattle,Reconquista 413 Eterno GC Bartolome,107
30,12/17/2025,190,Grey Brahman,34,Beef Master,SIRE Name,68
27,Beef Master,250,Prepared For,609/9,Red Brahman,BRC MR. JUMANJI 67,63
2,11/14/2025,31828,Grey Brahman,402,Red Brahman,Reconquista 413 Eterno GC Bartolome,DIP
26,Beef Master,31724,Prepared For,29M,Red Brahman,BRC MR. JUMANJI 67,115
12,Grey Brahman,32159,Prepared For,Donor,Red Brahman,BRC Dutton 376/8,DIP
17,11/14/2025,173,CONFIRMED IVF PREGNANCY REPORT,1,Grey Brahman,JDH Janos Manso 709,115
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",Total,97,Beef Master,820/4,Red Brahman,JDH Janos Manso 709,114
10,Grey Brahman,182,Grey Brahman,612,Angus,BRC MR. JUMANJI 67,68
5,11/14/2025,320,Red Brahman,23035,Red Brahman,Reconquista 413 Eterno GC Bartolome,DIP
25,Summary ,2/22,Beef Master,23035,AQ Cattle,BRC Dutton 376/8,DIP
32,12/12/2025,31724,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,820/4,Beef Master,JDH Janos Manso 709,107
24,9/27/2025,31291,Grey Brahman,909,Donor Breed,SIRE Name,115
31,12/12/2025,243,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,2/4,Angus,BRC Dutton 376/8,63
21,12/17/2025,3/30,DAM,827,Beef Master,SIRE Name,DIP
17,10/27/2025,6/20,Red Brahman,820/4,Donor Breed,BRC MR. JUMANJI 67,DIP
